,shit,id,去年同月增減(%)
587,587,8249,-0.9
588,588,2347,0.09
589,589,2414,0.02
590,590,2430,8.63
591,591,2459,-33.02
592,592,3010,17.99
593,593,3028,-17.23
594,594,3033,3.26
595,595,3036,93.77
596,596,3048,0.06
597,597,3055,72.61
598,598,3209,-16.18
599,599,3312,-3.42
600,600,3528,-3.69
601,601,3702,-3.9
602,602,5434,28.03
603,603,6145,
604,604,6189,0.04
605,605,6281,3.96
606,606,8070,-4.7
607,607,8072,-37.73
608,608,8112,36.89
609,609,2427,-9.32
610,610,2453,2.25
611,611,2468,154.68
612,612,2471,22.42
613,613,2480,7.96
614,614,3029,0.41
615,615,3130,-2.86
616,616,4994,-1.49
617,617,5203,-4.38
618,618,6112,8.82
619,619,6183,28.96
620,620,6214,31.98
621,621,2312,17.99
622,622,2317,29.68
623,623,2354,-15.2
624,624,2359,-18.31
625,625,2360,-8.6
626,626,2373,-9.56
627,627,2390,0.33
628,628,2404,127.61
629,629,2423,0.98
630,630,2433,3.92
631,631,2461,-13.17
632,632,2464,5.01
633,633,2474,-19.29
634,634,2477,1.35
635,635,2482,22.73
636,636,2488,56.57
637,637,2495,-18.91
638,638,2497,-26.84
639,639,3018,-26.46
640,640,3030,6.45
641,641,3043,-41.58
642,642,3305,-4.49
643,643,3450,-6.02
644,644,3518,-16.38
645,645,3617,-5.54
646,646,6139,41.11
647,647,6192,22.56
648,648,6196,34.73
649,649,6201,36.02
650,650,6215,-16.07
651,651,6283,86.06
652,652,6409,16.36
653,653,8021,-9.06
654,654,8201,-13.87
655,655,2616,14.5
656,656,6505,31.44
657,657,8926,299.83
658,658,9908,18.24
659,659,9918,22.87
660,660,9926,14.84
661,661,9931,18.67
662,662,9937,21.69
663,663,1436,212.8
664,664,1438,-100.0
665,665,1442,-63.52
666,666,1805,-100.0
667,667,1808,1080.47
668,668,2501,69.91
669,669,2504,12.59
670,670,2505,115.48
671,671,2506,-58.52
672,672,2509,-23.32
673,673,2511,74.38
674,674,2515,24.39
675,675,2516,-23.47
676,676,2520,17.39
677,677,2524,-16.94
678,678,2527,3978.21
679,679,2528,-54.16
680,680,2530,36345.17
681,681,2534,80.27
682,682,2535,25.82
683,683,2536,699.78
684,684,2537,56.21
685,685,2538,-45.48
686,686,2539,15.96
687,687,2540,294.32
688,688,2542,171.25
689,689,2543,46.82
690,690,2545,6.25
691,691,2546,-7.25
692,692,2547,101.58
693,693,2548,-87.23
694,694,2597,19.44
695,695,2841,59.11
696,696,3052,-70.24
697,697,3056,-48.31
698,698,3266,576.23
699,699,3703,-13.31
700,700,5515,35.51
701,701,5519,165.75
702,702,5521,20.98
703,703,5522,114.05
704,704,5525,1904.93
705,705,5531,26.47
706,706,5533,-19.78
707,707,5534,106.83
708,708,6177,134.57
709,709,9906,-88.77
710,710,9946,-44.16
711,711,2208,-9.12
712,712,2603,13.83
713,713,2605,58.9
714,714,2606,81.71
715,715,2607,4.01
716,716,2608,0.33
717,717,2609,14.16
718,718,2610,15.2
719,719,2611,-8.87
720,720,2612,17.92
721,721,2613,2.38
722,722,2615,11.4
723,723,2617,17.1
724,724,2618,12.3
725,725,2630,53.07
726,726,2633,12.88
727,727,2634,0.3
728,728,2636,18.72
729,729,2642,0.81
730,730,5607,15.17
731,731,5608,10.57
732,732,2701,-2.4
733,733,2702,-8.89
734,734,2704,5.13
735,735,2705,0.68
736,736,2706,1.54
737,737,2707,-9.59
738,738,2712,-7.58
739,739,2722,13.2
740,740,2727,7.19
741,741,2731,19.31
742,742,2739,12.75
743,743,2748,6.18
744,744,5706,38.64
745,745,8940,38.28
746,746,9943,4.95
747,747,2801,-0.53
748,748,2809,-38.84
749,749,2812,5.38
750,750,2816,1.25
751,751,2820,-9.84
752,752,2823,14.71
753,753,2832,8.41
754,754,2834,-2.55
755,755,2836,0.79
756,756,2838,-16.01
757,757,2845,-2.51
758,758,2849,-7.99
759,759,2850,-2.49
760,760,2851,-11.67
761,761,2852,-3.81
762,762,2855,-23.7
763,763,2856,
764,764,2867,-24.92
765,765,2880,-9.68
766,766,2881,8.9
767,767,2882,-57.92
768,768,2883,7.77
769,769,2884,-17.28
770,770,2885,-16.56
771,771,2886,0.02
772,772,2887,-8.3
773,773,2888,7.79
774,774,2889,-27.8
775,775,2890,-25.19
776,776,2891,-12.07
777,777,2892,5.99
778,778,2897,-9.0
779,779,5880,-0.24
780,780,6005,-47.0
781,781,6024,-47.05
782,782,1432,-14.44
783,783,2601,24.48
784,784,2614,31.49
785,785,2901,-11.64
786,786,2903,-2.09
787,787,2905,-12.21
788,788,2906,11.0
789,789,2908,13.03
790,790,2910,60.78
791,791,2911,-5.48
792,792,2912,10.2
793,793,2913,-42.77
794,794,2915,-48.91
795,795,8443,0.03
796,796,8454,22.49
797,797,1435,-27.43
798,798,1437,8.66
799,799,1516,56.8
800,800,2062,0.56
801,801,2348,76.33
802,802,2358,166.85
803,803,2443,121.07
804,804,2514,-90.87
805,805,2904,9.71
806,806,3040,12.28
807,807,4536,25.11
808,808,6184,1.92
809,809,6464,-2.33
810,810,6504,-0.98
811,811,6581,-75.95
812,812,6625,-29.53
813,813,8033,-15.3
814,814,8341,14.53
815,815,8422,13.36
816,816,8463,-0.94
817,817,8464,8.4
818,818,8473,46.11
819,819,8478,-62.86
820,820,8481,-13.23
821,821,8497,9.79
822,822,9902,-22.86
823,823,9904,7.29
824,824,9905,-8.75
825,825,9907,1.77
826,826,9910,9.56
827,827,9911,-1.71
828,828,9914,-2.94
829,829,9917,2.23
830,830,9919,-7.77
831,831,9921,10.91
832,832,9924,8.78
833,833,9925,2.95
834,834,9927,-3.08
835,835,9928,28.2
836,836,9929,-10.1
837,837,9930,23.42
838,838,9933,-23.59
839,839,9934,-4.72
840,840,9935,-6.5
841,841,9938,-8.46
842,842,9939,4.29
843,843,9940,-79.46
844,844,9941,17.75
845,845,9942,-2.07
846,846,9944,-6.45
847,847,9945,-18.94
848,848,9955,-51.11
