,,2018_2Q,2018_1Q,2017_4Q,2017_3Q,2017_2Q,2017_1Q,2016_4Q,2016_3Q
1234,營業收入淨額,2203.0,2391.0,2043.0,2741.0,2249.0,2285.0,2170.0,2799.0
1234,營業利益,60.0,-30.0,14.0,194.0,6.0,-44.0,7.0,153.0
1234,營業外收入及支出,129.0,175.0,103.0,117.0,100.0,154.0,118.0,139.0
1234,稅後淨利,169.0,118.0,85.0,287.0,70.0,88.0,113.0,245.0
1234,每股盈餘,0.42,0.3,0.22,0.73,0.18,0.22,0.27,0.59
1235,營業收入淨額,7.0,6.0,14.0,15.0,14.0,11.0,43.0,23.0
1235,營業利益,-4.0,-4.0,-14.0,13.0,-8.0,-12.0,-1.0,-29.0
1235,營業外收入及支出,23.0,12.0,18.0,187.0,106.0,53.0,-43.0,157.0
1235,稅後淨利,18.0,6.0,-10.0,168.0,-37.0,6.0,-47.0,128.0
1235,每股盈餘,0.23,0.15,0.08,3.39,1.1,0.66,-0.73,2.17
1236,營業收入淨額,327.0,572.0,634.0,546.0,433.0,448.0,716.0,561.0
1236,營業利益,-56.0,34.0,31.0,12.0,-40.0,-2.0,46.0,5.0
1236,營業外收入及支出,2.0,3.0,3.0,2.0,2.0,1.0,27.0,13.0
1236,稅後淨利,-51.0,34.0,31.0,14.0,-33.0,-7.0,42.0,6.0
1236,每股盈餘,-0.47,0.31,0.29,0.13,-0.31,-0.07,0.61,0.15
1702,營業收入淨額,4661.0,4270.0,4618.0,4533.0,4230.0,3792.0,4291.0,4147.0
1702,營業利益,430.0,283.0,348.0,353.0,393.0,316.0,457.0,520.0
1702,營業外收入及支出,-91.0,48.0,15.0,62.0,17.0,1.0,-106.0,-22.0
1702,稅後淨利,274.0,231.0,243.0,282.0,292.0,209.0,225.0,315.0
1702,每股盈餘,1.05,0.89,0.97,1.05,1.12,0.86,1.09,1.22
1737,營業收入淨額,837.0,681.0,673.0,783.0,682.0,668.0,667.0,760.0
1737,營業利益,124.0,97.0,65.0,127.0,119.0,108.0,85.0,131.0
1737,營業外收入及支出,114.0,3.0,12.0,8.0,16.0,-27.0,-4.0,-13.0
1737,稅後淨利,108.0,88.0,60.0,107.0,112.0,67.0,68.0,91.0
1737,每股盈餘,1.07,0.44,0.32,0.55,0.57,0.33,0.34,0.5
1301,營業收入淨額,62476.0,54167.0,53068.0,53480.0,52366.0,47796.0,50447.0,42145.0
1301,營業利益,8565.0,6675.0,5311.0,5602.0,5538.0,5487.0,5466.0,1708.0
1301,營業外收入及支出,11914.0,7054.0,9173.0,12395.0,6125.0,5273.0,7913.0,10421.0
1301,稅後淨利,16911.0,11944.0,13453.0,16904.0,9709.0,9892.0,12055.0,11396.0
1301,每股盈餘,2.69,1.87,2.02,2.66,1.53,1.55,1.89,1.79
