,0,1
126,1587,19
127,2049,255
128,2228,77.9
129,2231,226.5
130,2371,32.9
131,3167,45.65
132,3346,45.9
133,4526,20.1
134,4532,27.7
135,4540,91
136,4551,81.7
137,4555,62.5
138,4562,37.85
139,4566,47.85
140,6605,71.5
141,8222,17.45
142,8374,24.8
143,8996,48.65
144,1603,25.1
145,1604,13.15
146,1605,19.1
147,1608,9.28
148,1609,11.45
149,1611,9.66
150,1612,10.15
151,1614,23.3
152,1615,15.2
153,1616,5.47
154,1617,13.5
155,1618,8.82
156,4930,11.5
157,1316,18.25
158,1704,51.7
159,1708,26.7
160,1709,17.7
161,1710,32.4
162,1711,17.55
163,1712,17.05
164,1713,18.15
165,1714,7.69
166,1717,26.4
167,1718,10.7
168,1721,10.05
169,1722,46.2
170,1723,140.5
171,1724,13.45
172,1725,17.25
173,1726,78.6
174,1727,14.5
175,1730,51.2
176,1732,11.35
177,1735,15.95
178,1773,93.9
179,1776,20.7
180,3708,61.6
181,4720,13.35
182,4722,30
183,4725,29.45
184,4739,79.6
185,4755,47.45
186,4764,76.6
187,1598,33.3
188,1701,21.45
189,1707,205
190,1720,31.2
191,1731,13.35
192,1733,27.6
193,1734,20.3
194,1736,34.9
195,1760,94
196,1762,23.75
197,1783,25.8
198,1786,64.5
199,1789,29.65
200,3164,25.75
201,3705,40
202,4104,46.3
203,4106,24.45
204,4108,21.95
205,4119,87.6
206,4133,35.3
207,4142,18.9
208,4155,23
209,4164,35.15
210,4737,50.5
211,4746,47.45
212,1802,15.35
213,1806,7.73
214,1809,11.2
215,1810,8.8
216,1817,38
217,1902,17.5
218,1903,31.6
219,1904,22.75
220,1905,9.98
221,1906,19.4
222,1907,11.95
223,1909,20.5
224,2002,24.55
225,2006,22.15
226,2007,4.93
227,2008,12.6
228,2009,10.1
229,2010,10.7
230,2012,19.95
231,2013,28.75
232,2014,13.15
233,2015,57.5
234,2017,9.07
235,2020,14.35
236,2022,8.61
237,2023,10.05
238,2024,10
239,2025,2.15
240,2027,43.75
241,2028,9.67
242,2029,21.4
243,2030,14.25
244,2031,34
245,2032,9.61
246,2033,10
247,2034,25.65
248,2038,9.54
249,2069,23.25
250,3004,55.3
251,5007,53.8
252,9958,79.5
253,2101,24.6
254,2102,12.1
255,2103,31.3
256,2104,38.85
257,2105,46.45
258,2106,30.2
259,2107,14.7
260,2108,31.1
261,2109,14.3
262,2114,93.6
263,6582,53.7
264,2201,20.45
265,2204,25
266,2206,20.6
267,2207,257.5
268,2227,233
269,2302,8.2
270,2303,15.65
271,2329,10.1
272,2330,260
273,2337,28.15
274,2338,28.3
275,2342,28.65
276,2344,14.9
277,2351,84.7
278,2363,9.52
279,2369,10.05
280,2379,142.5
281,2388,36.05
282,2401,12.45
283,2408,60.1
284,2434,12
285,2436,26.6
286,2441,50.3
287,2449,19.95
288,2451,68.7
289,2454,244
290,2458,51.1
291,2481,34.1
292,3006,33.15
293,3014,34.7
294,3016,51.3
295,3034,150.5
296,3035,71.6
297,3041,11.9
298,3054,19.35
299,3094,19.45
300,3189,47.2
301,3257,49
302,3413,140.5
303,3443,313.5
304,3519,10.95
305,3530,100.5
306,3532,85.4
307,3536,10.3
308,3545,25.25
309,3579,10.6
310,3583,64
311,3588,25.45
312,3686,3.83
313,3711,70.9
314,4919,47.2
315,4952,33.4
316,4968,52.7
317,5269,543
318,5285,77.8
319,5305,30
320,5471,29.9
321,6202,78.8
322,6239,85.3
323,6243,13.3
324,6257,33.9
325,6271,79.7
326,6531,59.8
327,6533,98.8
328,6552,80.5
329,8016,83.1
330,8028,35.75
331,8081,64.8
332,8110,12.45
333,8131,36
334,8150,20.4
335,8261,37.9
336,8271,34.1
337,2301,35.35
338,2305,7.62
339,2324,18.75
340,2331,14.8
341,2352,19.8
342,2353,25.2
343,2356,27.75
344,2357,256
345,2362,30.1
346,2364,3.56
347,2365,10.4
348,2376,50.1
349,2377,89.8
350,2380,5.52
351,2382,49.7
352,2387,15.95
353,2395,211
354,2397,68.6
355,2399,12.65
356,2405,12.5
357,2417,11.15
358,2424,27
359,2425,49.2
360,2442,13.05
361,2465,14.4
362,3002,10.55
363,3005,39.6
364,3013,16.1
365,3017,27.6
366,3022,37.1
367,3046,20.3
368,3057,10.3
369,3060,16.6
370,3231,20.5
371,3416,55.4
372,3494,6.95
373,3515,52.8
374,3701,6.85
375,3706,28.6
376,4916,33.35
377,4938,59.9
378,5258,19.6
379,6117,13.1
380,6128,30.4
381,6166,47
382,6172,12
383,6206,75.1
384,6230,91.5
385,6235,17.05
386,6277,81.3
387,6414,250
388,6579,84.6
389,8114,109
390,8163,47.95
391,8210,39.45
392,9912,8.85
393,2323,6.78
394,2340,21.25
395,2349,10.75
396,2374,14
397,2393,30.9
398,2406,10.25
399,2409,12.75
400,2426,18.2
401,2438,7.9
402,2448,31.95
403,2466,30.15
404,2475,1.92
405,2486,10.9
406,2489,12.75
407,2491,6.75
408,2499,10.15
409,3008,4340
410,3019,70.7
411,3024,7.15
412,3031,11.3
413,3038,9.95
414,3049,7.85
415,3050,8.99
416,3051,3.43
417,3059,27.6
418,3149,12.15
419,3356,26.7
420,3383,2.5
421,3406,357
422,3437,22.05
423,3454,82.7
424,3481,10.65
425,3504,89.1
426,3514,12.65
427,3535,13.05
428,3557,16
429,3561,10.6
430,3576,9.36
431,3591,14.5
432,3622,17.3
433,3669,19.45
434,3698,18.25
435,4934,6.51
436,4942,31.7
437,4956,19
438,4960,9.95
439,4976,39
440,5234,81
441,5259,7.05
442,5484,6.05
443,6116,7.89
444,6120,20.2
445,6131,13.35
446,6164,9.7
447,6168,14.4
448,6176,64.4
449,6209,29
450,6225,3.72
451,6226,8.94
452,6278,34.4
453,6288,19.25
454,6289,1.45
455,6405,15.6
456,6443,7.14
457,6477,23.7
458,8105,11.8
459,8215,17.25
460,2314,20.8
461,2321,2.82
462,2332,11.15
463,2345,96
464,2412,110
465,2419,22
466,2439,157
467,2444,15.7
468,2450,39.45
469,2455,92.9
470,2485,20.1
471,2496,104
472,2498,38.8
473,3025,25.35
474,3027,8.6
475,3045,108.5
476,3047,10.35
477,3062,15.2
478,3311,15.4
479,3380,14.95
480,3419,18.05
481,3596,57.4
482,3682,6.89
483,3694,21.75
484,3704,11.1
485,4904,73.4
486,4906,21.4
487,5388,49.4
488,6136,19.8
489,6142,8.25
490,6152,5.89
491,6216,28.1
492,6285,70
493,6416,90.9
494,6442,37.25
495,8011,16.8
496,8101,3.78
497,1471,6
498,1582,56.9
499,2059,385
500,2308,118.5
501,2313,23.85
502,2316,16.3
503,2327,546
504,2328,22
505,2355,38.3
506,2367,16.2
507,2368,13.9
508,2375,53.7
509,2383,77.4
510,2385,63.3
511,2392,26.95
512,2402,16.35
513,2413,23.8
514,2415,25.25
515,2420,31.75
516,2421,45.2
517,2428,84.3
518,2429,11.6
519,2431,10.2
520,2440,8.73
521,2456,91.5
522,2457,10.4
523,2460,10.7
524,2462,26.75
525,2467,25.35
526,2472,49.6
527,2476,24.6
528,2478,68.5
529,2483,19.9
530,2484,19.1
531,2492,247
532,2493,25.4
533,3003,45.2
534,3011,8.92
535,3015,21.3
536,3021,15.15
537,3023,84
538,3026,154
539,3032,30.05
540,3037,17.7
541,3042,34.6
542,3044,88.7
543,3058,7.88
544,3090,68.2
545,3229,17.1
546,3296,14.4
547,3308,7.68
548,3321,15
549,3338,20.2
550,3376,86.8
551,3432,15.4
552,3501,50.9
553,3533,215
554,3550,18.15
555,3593,6.78
556,3605,21.3
557,3607,21.5
558,3645,60.1
559,3653,65.6
560,3679,67.2
561,4545,31.5
562,4915,47.3
563,4989,25.2
564,4999,48.5
565,5469,26.25
566,6108,26.8
567,6115,42.25
568,6133,9.03
569,6141,15.9
570,6153,44.8
571,6155,32.4
572,6165,9.1
573,6191,13.25
574,6197,24.85
575,6205,23.6
576,6213,61
577,6224,59.3
578,6251,9.35
579,6269,90
580,6282,19.65
581,6412,41.55
582,6449,39.8
583,8039,35.6
584,8046,31.3
585,8103,25.2
586,8213,28
587,8249,21.3
588,2347,38.45
589,2414,19.8
590,2430,21.75
591,2459,36.1
592,3010,55
593,3028,21.6
594,3033,20.95
595,3036,42.5
596,3048,15.7
597,3055,27.9
598,3209,18.4
599,3312,13.7
600,3528,32.95
601,3702,37.7
602,5434,72
603,6145,6.78
604,6189,28.45
605,6281,64.8
606,8070,139.5
607,8072,22.6
608,8112,29.2
609,2427,9.85
610,2453,12.45
611,2468,11
612,2471,14.8
613,2480,38.2
614,3029,19.7
615,3130,164.5
616,4994,50
617,5203,71.9
618,6112,30
619,6183,33.3
620,6214,63.7
621,2312,10.5
622,2317,77.7
623,2354,74.9
624,2359,21.5
625,2360,146.5
626,2373,96.3
627,2390,10.65
628,2404,60.5
629,2423,23.9
630,2433,42.85
631,2461,14.6
632,2464,43.2
633,2474,351.5
634,2477,19.05
635,2482,12.45
636,2488,33.85
637,2495,11.6
638,2497,17
639,3018,36
640,3030,47.1
641,3043,2.5
642,3305,21.3
643,3450,65.2
644,3518,24.45
645,3617,85.7
646,6139,31.2
647,6192,65.8
648,6196,57.2
649,6201,29.85
650,6215,17.2
651,6283,44.55
652,6409,531
653,8021,19.05
654,8201,13.95
655,2616,29.9
656,6505,125.5
657,8926,25.75
658,9908,27.9
659,9918,33.25
660,9926,40.1
661,9931,31.75
662,9937,39.8
663,1436,37.65
664,1438,7.7
665,1442,16.7
666,1805,11.15
667,1808,56.6
668,2501,16.9
669,2504,9.19
670,2505,11.75
671,2506,11.6
672,2509,30.15
673,2511,10.9
674,2515,8.11
675,2516,6.32
676,2520,21.25
677,2524,20.2
678,2527,30.45
679,2528,13.9
680,2530,15.95
681,2534,30.1
682,2535,21.1
683,2536,20.5
684,2537,7.49
685,2538,13.1
686,2539,27.95
687,2540,25.5
688,2542,45.4
689,2543,7.78
690,2545,26.1
691,2546,24.15
692,2547,17.2
693,2548,63.8
694,2597,36.7
695,2841,8.76
696,3052,9.71
697,3056,18.2
698,3266,11.5
699,3703,13.45
700,5515,10.95
701,5519,11.1
702,5521,9.15
703,5522,31.3
704,5525,21.2
705,5531,11.45
706,5533,16.1
707,5534,75.9
708,6177,26.2
709,9906,11.55
710,9946,12.9
711,2208,32.8
712,2603,12.3
713,2605,15.45
714,2606,33.65
715,2607,13.1
716,2608,39.3
717,2609,8.68
718,2610,9.18
719,2611,7.35
720,2612,34.15
721,2613,12.35
722,2615,16.9
723,2617,17.75
724,2618,14.6
725,2630,25.1
726,2633,25.5
727,2634,29.4
728,2636,25.4
729,2642,24.05
730,5607,16.35
731,5608,7.92
732,2701,12.5
733,2702,17.7
734,2704,22.4
735,2705,6.15
736,2706,14.15
737,2707,138
738,2712,30.7
739,2722,29.4
740,2727,78.6
741,2731,87.2
742,2739,29.5
743,2748,63.6
744,5706,33.9
745,8940,13.7
746,9943,58.1
747,2801,18
748,2809,30.05
749,2812,10.5
750,2816,20
751,2820,13.9
752,2823,29.75
753,2832,20.35
754,2834,10.55
755,2836,9.21
756,2838,10.15
757,2845,10.2
758,2849,14.9
759,2850,40.25
760,2851,17.5
761,2852,15.15
762,2855,13.95
763,2856,11.1
764,2867,15.7
765,2880,17.85
766,2881,49.8
767,2882,50.5
768,2883,10.8
769,2884,22.3
770,2885,15.25
771,2886,26
772,2887,14.1
773,2888,11.85
774,2889,10.45
775,2890,10.95
776,2891,21.45
777,2892,20.4
778,2897,8.14
779,5880,18.05
780,6005,10.2
781,6024,52.5
782,1432,8.7
783,2601,9.71
784,2614,14.5
785,2901,24.45
786,2903,16.9
787,2905,23.45
788,2906,10.25
789,2908,22.65
790,2910,29.5
791,2911,10.55
792,2912,347
793,2913,15.15
794,2915,56.8
795,8443,13.65
796,8454,187
797,1435,5.42
798,1437,18.1
799,1516,18.1
800,2062,36
801,2348,38.8
802,2358,19.7
803,2443,6.24
804,2514,14.9
805,2904,19.85
806,3040,37.2
807,4536,86.5
808,6184,35.45
809,6464,116.5
810,6504,165.5
811,6581,106.5
812,6625,51.7
813,8033,10.45
814,8341,223.5
815,8422,177
816,8463,25.2
817,8464,220
818,8473,62.2
819,8478,43.15
820,8481,43.2
821,8497,43.2
822,9902,9.46
823,9904,31.25
824,9905,25.45
825,9907,13.55
826,9910,183.5
827,9911,37.45
828,9914,138.5
829,9917,86.5
830,9919,11.4
831,9921,127
832,9924,34.65
833,9925,35.45
834,9927,33.85
835,9928,5.05
836,9929,12.8
837,9930,56.1
838,9933,48.5
839,9934,15.3
840,9935,16.95
841,9938,68.1
842,9939,50.7
843,9940,33.1
844,9941,101
845,9942,77.9
846,9944,16.2
847,9945,33.8
848,9955,13.45
