,0
346,1.63
347,1.5
348,2.8
349,1.31
350,0.4906903635404996
351,-0.3
352,-0.12
353,0.62
354,-0.54
355,-3.141729663861753
356,0.14
357,0.4
358,0.79
359,0.52
360,0.8278467085389518
361,0.59
362,0.34
363,0.22
364,0.09
365,1.4076876873804258
366,0.41
367,0.5
368,1.24
369,-5.33
370,-1.3256968074507256
371,2.52
372,0.26
373,1.71
374,0.34
375,0.22320489373077018
376,0.3
377,-1.38
378,0.72
379,0.56
380,0.8484531058229657
381,0.47
382,1.2
383,1.03
384,0.85
385,-0.36347973828043745
386,3.5
387,3.95
388,0.51
389,0.63
390,0.43537106214103055
391,1.21
392,1.45
393,1.4
394,4.14
395,-0.04113822167179508
396,0.25
397,0.72
398,1.0
399,1.05
400,0.5758380698756542
401,-0.03
402,-0.91
403,0.07
404,0.52
405,1.333555454432659
406,-0.36
407,0.07
408,0.01
409,0.57
410,1.1453009981651638
411,-0.59
412,-0.25
413,-0.33
414,-0.36
415,-0.10416579345575185
416,0.49
417,0.55
418,0.71
419,0.77
420,-0.36133979578623066
421,-1.08
422,0.89
423,-0.5
424,-0.89
425,-0.7254894431969118
426,0.64
427,1.54
428,0.65
429,0.97
430,-1.1458792556884567
431,0.84
432,0.94
433,0.7
434,0.44
435,0.4400484250379423
436,-12.31
437,-1.94
438,1.78
439,-0.79
440,-1.8583092156905732
441,11.12
442,13.67
443,15.99
444,11.51
445,-1.4112620908832436
446,6.18
447,7.39
448,10.9
449,9.62
450,-0.7976443814715055
451,-0.71
452,-1.94
453,-3.61
454,0.29
455,1.0593313349311293
456,1.47
457,6.26
458,6.65
459,3.51
460,-2.417577517507003
461,5.07
462,7.41
463,10.21
464,11.26
465,13.041143453291308
466,2.55
467,2.39
468,2.39
469,2.43
470,6.308710177067009
471,1.56
472,1.76
473,1.6
474,2.05
475,2.8105092606034443
476,-0.12
477,0.17
478,0.29
479,0.11
480,1.5962661311912214
481,2.76
482,3.8
483,4.53
484,4.95
485,-0.7455539448209021
486,-3.09
487,-0.68
488,-0.83
489,-1.3
490,1.9037175987688222
491,1.19
492,1.22
493,1.34
494,1.5
495,-3.2803036834004726
496,0.58
497,0.51
498,0.59
499,0.55
500,1.784872323884094
501,1.49
502,0.58
503,0.7
504,0.81
505,0.9043159069858632
506,-0.18
507,0.06
508,0.61
509,1.01
510,1.1738820607096507
511,0.36
512,0.96
513,0.86
514,1.0
515,0.4729448105015674
516,6.55
517,6.52
518,5.9
519,4.88
520,0.4666408267059732
521,2.12
522,3.17
523,2.43
524,1.64
525,-0.73243431901082
526,0.92
527,1.23
528,-1.06
529,0.04
530,4.227961022219613
531,7.36
532,7.21
533,6.31
534,4.62
535,1.8350339528682833
536,2.71
537,1.8
538,1.45
539,1.09
540,1.059428097204396
541,1.48
542,6.88
543,6.75
544,6.31
545,6.374439128267545
546,0.55
547,0.56
548,-0.24
549,0.12
550,2.303639419960196
551,0.11
552,-0.17
553,-0.72
554,-0.25
555,6.242377132837933
556,1.83
557,1.42
558,2.98
559,2.97
560,0.5406500993331647
561,0.85
562,0.59
563,0.79
564,1.05
565,0.19716928544856435
566,1.58
567,2.6
568,2.8
569,1.36
570,3.0269589165583097
571,1.15
572,0.85
573,1.72
574,2.41
575,1.1244785789013225
576,1.51
577,2.0
578,4.11
579,5.51
580,2.495344971449561
581,4.81
582,4.78
583,4.62
584,3.06
585,1.8783924895659656
586,11.04
587,11.31
588,9.42
589,8.09
590,1.0901695965855598
591,-1.85
592,-1.28
593,-0.65
594,-0.64
595,5.194009995459515
596,1.17
597,2.95
598,3.42
599,2.01
600,12.123922010958209
601,0.54
602,0.5
603,0.73
604,2.5
605,-1.127154639363314
606,1.71
607,4.37
608,3.59
609,2.06
610,2.3526564539371013
611,8.68
612,14.06
613,14.19
614,13.7
615,0.9797069326236554
616,5.2
617,3.79
618,4.14
619,4.63
620,2.0316762965870465
621,1.86
622,1.78
623,1.34
624,1.18
625,11.70576882085917
626,3.44
627,2.24
628,6.21
629,6.88
630,5.5477493455108915
631,0.27
632,1.17
633,1.17
634,1.28
635,0.9639761436852256
636,9.77
637,4.83
638,6.1
639,9.2
640,4.626736031360853
641,7.26
642,9.09
643,8.55
644,6.79
645,6.089918467653283
646,10.0
647,12.14
648,13.45
649,10.43
650,-0.06072979744934193
651,0.03
652,-1.04
653,-1.35
654,0.16
655,-1.0225549570428607
656,4.34
657,2.22
658,2.47
659,3.27
660,0.32987122110266043
661,3.81
662,3.45
663,1.27
664,1.43
665,0.6943274381289177
666,-0.93
667,0.23
668,1.06
669,2.51
670,3.9517523388120472
671,2.1
672,2.8
673,1.86
674,2.3
675,0.7982251792572945
676,2.5
677,0.54
678,0.3
679,1.15
680,1.1815354445037523
681,7.32
682,5.95
683,3.74
684,4.27
