,0,1,2
0,1417,2017,-1.21
1,1417,2016,-0.45
2,1417,2015,-1.01
3,1417,2014,0.08
0,1418,2017,-7.42
1,1418,2016,-1.47
2,1418,2015,-1.46
3,1418,2014,-1.32
0,1419,2017,4.15
1,1419,2016,0.52
2,1419,2015,0.39
3,1419,2014,0.35
0,1423,2017,0.27
1,1423,2016,0.03
2,1423,2015,-0.21
3,1423,2014,-0.43
0,1434,2017,2.54
1,1434,2016,2.07
2,1434,2015,1.68
3,1434,2014,2.09
0,1439,2017,-0.07
1,1439,2016,0.28
2,1439,2015,0.01
3,1439,2014,0.01
0,1440,2017,0.45
1,1440,2016,0.35
2,1440,2015,0.75
3,1440,2014,0.29
0,1441,2017,-3.82
1,1441,2016,-2.36
2,1441,2015,-0.93
3,1441,2014,-2.17
0,1443,2017,-1.79
1,1443,2016,-1.34
2,1443,2015,-0.89
3,1443,2014,-1.51
0,1444,2017,-0.01
1,1444,2016,0.07
2,1444,2015,0.43
3,1444,2014,0.23
0,1445,2017,0.09
1,1445,2016,0.45
2,1445,2015,0.65
3,1445,2014,0.21
0,1446,2017,-0.29
1,1446,2016,0.47
2,1446,2015,-0.28
3,1446,2014,0.1
0,1447,2017,-0.21
1,1447,2016,-0.1
2,1447,2015,0.02
3,1447,2014,0.42
0,1449,2017,0.47
1,1449,2016,-1.56
2,1449,2015,-2.25
3,1449,2014,0.46
0,1451,2017,0.94
1,1451,2016,1.83
2,1451,2015,1.69
3,1451,2014,1.75
0,1452,2017,1.63
1,1452,2016,1.5
2,1452,2015,2.8
3,1452,2014,1.31
0,1453,2017,-0.3
1,1453,2016,-0.12
2,1453,2015,0.62
3,1453,2014,-0.54
0,1454,2017,0.14
1,1454,2016,0.4
2,1454,2015,0.79
3,1454,2014,0.52
0,1455,2017,0.59
1,1455,2016,0.34
2,1455,2015,0.22
3,1455,2014,0.09
0,1456,2017,0.41
1,1456,2016,0.5
2,1456,2015,1.24
3,1456,2014,-5.33
0,1457,2017,2.52
1,1457,2016,0.26
2,1457,2015,1.71
3,1457,2014,0.34
0,1459,2017,0.3
1,1459,2016,-1.38
